dialogue_id,category_id,category_name,role_tags,emotion,intensity,line_text,acting_note,duration_hint
MANDARIN-014,pressure_control,压迫掌控,霸总 / 强势上司 / 掌权者,低压强势,中,你没有拒绝的余地。,语速偏慢，咬字清晰，压低声音。,10秒内单句
MANDARIN-015,pressure_control,压迫掌控,霸总 / 强势上司 / 掌权者,低压强势,中,我给你的时间不多。,直视镜头，句尾明确落下。,10秒内单句
MANDARIN-016,pressure_control,压迫掌控,霸总 / 强势上司 / 掌权者,低压强势,中,先回答我的问题。,语速偏慢，咬字清晰，压低声音。,10秒内单句
MANDARIN-017,pressure_control,压迫掌控,霸总 / 强势上司 / 掌权者,低压强势,偏强,别让我再问第二次。,直视镜头，句尾明确落下。,10秒内单句
MANDARIN-018,pressure_control,压迫掌控,霸总 / 强势上司 / 掌权者,低压强势,偏强,你最好想清楚再开口。,语速偏慢，咬字清晰，压低声音。,10秒内单句
MANDARIN-019,pressure_control,压迫掌控,霸总 / 强势上司 / 掌权者,低压强势,偏强,我可以给你机会，也可以收回来。,直视镜头，句尾明确落下。,10秒内单句
MANDARIN-020,pressure_control,压迫掌控,霸总 / 强势上司 / 掌权者,低压强势,偏强,我的底线，不是谁都能碰。,语速偏慢，咬字清晰，压低声音。,10秒内单句
MANDARIN-021,restrained_grievance,隐忍委屈,受伤主角 / 隐忍伴侣 / 被误解者,委屈克制,中,你有没有哪怕一次，相信过我？,开口前短暂停顿，委屈压在声音里。,10秒内单句
MANDARIN-022,restrained_grievance,隐忍委屈,受伤主角 / 隐忍伴侣 / 被误解者,委屈克制,中,原来你一直是这么想我的。,眼神略有动摇，声音轻，不要哭喊。,10秒内单句
MANDARIN-023,restrained_grievance,隐忍委屈,受伤主角 / 隐忍伴侣 / 被误解者,委屈克制,中,我解释过，是你不愿意听。,开口前短暂停顿，委屈压在声音里。,10秒内单句
MANDARIN-024,restrained_grievance,隐忍委屈,受伤主角 / 隐忍伴侣 / 被误解者,委屈克制,中,我等了你整整一夜。,眼神略有动摇，声音轻，不要哭喊。,10秒内单句
MANDARIN-025,restrained_grievance,隐忍委屈,受伤主角 / 隐忍伴侣 / 被误解者,委屈克制,中,你明明知道，我最怕什么。,开口前短暂停顿，委屈压在声音里。,10秒内单句
MANDARIN-026,restrained_grievance,隐忍委屈,受伤主角 / 隐忍伴侣 / 被误解者,委屈克制,中,我没有你想得那么坚强。,眼神略有动摇，声音轻，不要哭喊。,10秒内单句
MANDARIN-027,restrained_grievance,隐忍委屈,受伤主角 / 隐忍伴侣 / 被误解者,委屈克制,偏强,我只是想听你说一句实话。,开口前短暂停顿，委屈压在声音里。,10秒内单句
MANDARIN-028,restrained_grievance,隐忍委屈,受伤主角 / 隐忍伴侣 / 被误解者,委屈克制,偏强,我以为你会站在我这边。,眼神略有动摇，声音轻，不要哭喊。,10秒内单句
MANDARIN-029,restrained_grievance,隐忍委屈,受伤主角 / 隐忍伴侣 / 被误解者,委屈克制,偏强,你可以不爱我，但别骗我。,开口前短暂停顿，委屈压在声音里。,10秒内单句
MANDARIN-030,restrained_grievance,隐忍委屈,受伤主角 / 隐忍伴侣 / 被误解者,委屈克制,偏强,我已经没有力气再解释了。,眼神略有动摇，声音轻，不要哭喊。,10秒内单句
MANDARIN-031,breakup_decision,决绝分手,清醒主角 / 离婚妻子 / 失望恋人,决绝平静,中,这次，我不会再回头了。,保持冷静，不要激烈表演。,10秒内单句
MANDARIN-032,breakup_decision,决绝分手,清醒主角 / 离婚妻子 / 失望恋人,决绝平静,中,我们到此为止。,声音平静，结尾不要拖长。,10秒内单句
MANDARIN-033,breakup_decision,决绝分手,清醒主角 / 离婚妻子 / 失望恋人,决绝平静,中,我不要你的补偿。,保持冷静，不要激烈表演。,10秒内单句
MANDARIN-034,breakup_decision,决绝分手,清醒主角 / 离婚妻子 / 失望恋人,决绝平静,中,以后，各自珍重。,声音平静，结尾不要拖长。,10秒内单句
MANDARIN-035,breakup_decision,决绝分手,清醒主角 / 离婚妻子 / 失望恋人,决绝平静,中,我已经决定了。,保持冷静，不要激烈表演。,10秒内单句
MANDARIN-036,breakup_decision,决绝分手,清醒主角 / 离婚妻子 / 失望恋人,决绝平静,中,你不用再挽留我。,声音平静，结尾不要拖长。,10秒内单句
MANDARIN-037,breakup_decision,决绝分手,清醒主角 / 离婚妻子 / 失望恋人,决绝平静,偏强,迟来的道歉，我不需要。,保持冷静，不要激烈表演。,10秒内单句
MANDARIN-038,breakup_decision,决绝分手,清醒主角 / 离婚妻子 / 失望恋人,决绝平静,偏强,我不是在赌气。,声音平静，结尾不要拖长。,10秒内单句
MANDARIN-039,breakup_decision,决绝分手,清醒主角 / 离婚妻子 / 失望恋人,决绝平静,偏强,我终于学会放过自己了。,保持冷静，不要激烈表演。,10秒内单句
MANDARIN-040,breakup_decision,决绝分手,清醒主角 / 离婚妻子 / 失望恋人,决绝平静,偏强,这段关系，我退出。,声音平静，结尾不要拖长。,10秒内单句
MANDARIN-041,revenge_counterattack,复仇反击,复仇主角 / 归来者 / 隐藏身份者,冷静锋利,中,你欠我的，我会一点一点拿回来。,压低声音，重点词略微加重。,10秒内单句
MANDARIN-042,revenge_counterattack,复仇反击,复仇主角 / 归来者 / 隐藏身份者,冷静锋利,中,现在，该轮到你害怕了。,轻微冷笑后开口，声音稳定。,10秒内单句
MANDARIN-043,revenge_counterattack,复仇反击,复仇主角 / 归来者 / 隐藏身份者,冷静锋利,中,这只是开始。,压低声音，重点词略微加重。,10秒内单句
MANDARIN-044,revenge_counterattack,复仇反击,复仇主角 / 归来者 / 隐藏身份者,冷静锋利,中,我回来，不是为了原谅你。,轻微冷笑后开口，声音稳定。,10秒内单句
MANDARIN-045,revenge_counterattack,复仇反击,复仇主角 / 归来者 / 隐藏身份者,冷静锋利,中,你做过的事，我一件都没忘。,压低声音，重点词略微加重。,10秒内单句
MANDARIN-046,revenge_counterattack,复仇反击,复仇主角 / 归来者 / 隐藏身份者,冷静锋利,中,别急，我们慢慢算。,轻微冷笑后开口，声音稳定。,10秒内单句
MANDARIN-047,revenge_counterattack,复仇反击,复仇主角 / 归来者 / 隐藏身份者,冷静锋利,偏强,你以为我还是从前的我吗？,压低声音，重点词略微加重。,10秒内单句
MANDARIN-048,revenge_counterattack,复仇反击,复仇主角 / 归来者 / 隐藏身份者,冷静锋利,偏强,这一次，我不会再输。,轻微冷笑后开口，声音稳定。,10秒内单句
MANDARIN-049,revenge_counterattack,复仇反击,复仇主角 / 归来者 / 隐藏身份者,冷静锋利,偏强,你最在意的，我会亲手拿走。,压低声音，重点词略微加重。,10秒内单句
MANDARIN-050,revenge_counterattack,复仇反击,复仇主角 / 归来者 / 隐藏身份者,冷静锋利,偏强,好戏才刚刚开始。,轻微冷笑后开口，声音稳定。,10秒内单句
MANDARIN-051,identity_reveal,身份揭晓,隐藏大佬 / 失踪继承人 / 归来强者,沉稳揭晓,中,你一直想找的人，就是我。,语气自然，不要刻意炫耀。,10秒内单句
MANDARIN-052,identity_reveal,身份揭晓,隐藏大佬 / 失踪继承人 / 归来强者,沉稳揭晓,中,重新认识一下，我才是这里的负责人。,沉稳开口，留出短暂停顿。,10秒内单句
MANDARIN-053,identity_reveal,身份揭晓,隐藏大佬 / 失踪继承人 / 归来强者,沉稳揭晓,中,这家公司，是我的。,语气自然，不要刻意炫耀。,10秒内单句
MANDARIN-054,identity_reveal,身份揭晓,隐藏大佬 / 失踪继承人 / 归来强者,沉稳揭晓,中,你手里的那份合同，是我签的。,沉稳开口，留出短暂停顿。,10秒内单句
MANDARIN-055,identity_reveal,身份揭晓,隐藏大佬 / 失踪继承人 / 归来强者,沉稳揭晓,中,不用猜了，是我安排的。,语气自然，不要刻意炫耀。,10秒内单句
MANDARIN-056,identity_reveal,身份揭晓,隐藏大佬 / 失踪继承人 / 归来强者,沉稳揭晓,中,我从来没有离开过。,沉稳开口，留出短暂停顿。,10秒内单句
MANDARIN-057,identity_reveal,身份揭晓,隐藏大佬 / 失踪继承人 / 归来强者,沉稳揭晓,偏强,你口中的那个人，就站在你面前。,语气自然，不要刻意炫耀。,10秒内单句
MANDARIN-058,identity_reveal,身份揭晓,隐藏大佬 / 失踪继承人 / 归来强者,沉稳揭晓,偏强,现在，你知道我是谁了吗？,沉稳开口，留出短暂停顿。,10秒内单句
MANDARIN-059,identity_reveal,身份揭晓,隐藏大佬 / 失踪继承人 / 归来强者,沉稳揭晓,偏强,这个位置，本来就属于我。,语气自然，不要刻意炫耀。,10秒内单句
MANDARIN-060,identity_reveal,身份揭晓,隐藏大佬 / 失踪继承人 / 归来强者,沉稳揭晓,偏强,我没有隐瞒，只是你从没问过。,沉稳开口，留出短暂停顿。,10秒内单句
MANDARIN-061,suspicion_probe,试探怀疑,警惕主角 / 调查者 / 敏锐伴侣,怀疑试探,中,你是不是还有事情瞒着我？,尾音略沉，等待对方回答。,10秒内单句
MANDARIN-062,suspicion_probe,试探怀疑,警惕主角 / 调查者 / 敏锐伴侣,怀疑试探,中,你刚才为什么躲开我的眼睛？,轻微皱眉，语速中等。,10秒内单句
MANDARIN-063,suspicion_probe,试探怀疑,警惕主角 / 调查者 / 敏锐伴侣,怀疑试探,中,这句话，你自己信吗？,尾音略沉，等待对方回答。,10秒内单句
MANDARIN-064,suspicion_probe,试探怀疑,警惕主角 / 调查者 / 敏锐伴侣,怀疑试探,中,你到底在害怕什么？,轻微皱眉，语速中等。,10秒内单句
MANDARIN-065,suspicion_probe,试探怀疑,警惕主角 / 调查者 / 敏锐伴侣,怀疑试探,中,你认识他，对不对？,尾音略沉，等待对方回答。,10秒内单句
MANDARIN-066,suspicion_probe,试探怀疑,警惕主角 / 调查者 / 敏锐伴侣,怀疑试探,中,你今天很不对劲。,轻微皱眉，语速中等。,10秒内单句
MANDARIN-067,suspicion_probe,试探怀疑,警惕主角 / 调查者 / 敏锐伴侣,怀疑试探,偏强,你为什么突然改口？,尾音略沉，等待对方回答。,10秒内单句
MANDARIN-068,suspicion_probe,试探怀疑,警惕主角 / 调查者 / 敏锐伴侣,怀疑试探,偏强,你确定，这就是全部真相？,轻微皱眉，语速中等。,10秒内单句
MANDARIN-069,suspicion_probe,试探怀疑,警惕主角 / 调查者 / 敏锐伴侣,怀疑试探,偏强,你先告诉我，昨晚你在哪里。,尾音略沉，等待对方回答。,10秒内单句
MANDARIN-070,suspicion_probe,试探怀疑,警惕主角 / 调查者 / 敏锐伴侣,怀疑试探,偏强,我再给你一次说实话的机会。,轻微皱眉，语速中等。,10秒内单句
MANDARIN-071,gentle_comfort,温柔安慰,温柔恋人 / 医生 / 可靠朋友,温柔安抚,中,没关系，你已经做得很好了。,轻微呼吸，表情温和。,10秒内单句
MANDARIN-072,gentle_comfort,温柔安慰,温柔恋人 / 医生 / 可靠朋友,温柔安抚,中,别怕，我在这里。,声音放柔，语速稍慢。,10秒内单句
MANDARIN-073,gentle_comfort,温柔安慰,温柔恋人 / 医生 / 可靠朋友,温柔安抚,中,慢一点，不着急。,轻微呼吸，表情温和。,10秒内单句
MANDARIN-074,gentle_comfort,温柔安慰,温柔恋人 / 医生 / 可靠朋友,温柔安抚,中,你可以不用一直逞强。,声音放柔，语速稍慢。,10秒内单句
MANDARIN-075,gentle_comfort,温柔安慰,温柔恋人 / 医生 / 可靠朋友,温柔安抚,中,累了就休息一下。,轻微呼吸，表情温和。,10秒内单句
MANDARIN-076,gentle_comfort,温柔安慰,温柔恋人 / 医生 / 可靠朋友,温柔安抚,中,这次换我陪着你。,声音放柔，语速稍慢。,10秒内单句
MANDARIN-077,gentle_comfort,温柔安慰,温柔恋人 / 医生 / 可靠朋友,温柔安抚,偏强,你不用一个人扛。,轻微呼吸，表情温和。,10秒内单句
MANDARIN-078,gentle_comfort,温柔安慰,温柔恋人 / 医生 / 可靠朋友,温柔安抚,偏强,想哭就哭吧。,声音放柔，语速稍慢。,10秒内单句
MANDARIN-079,gentle_comfort,温柔安慰,温柔恋人 / 医生 / 可靠朋友,温柔安抚,偏强,我不会走。,轻微呼吸，表情温和。,10秒内单句
MANDARIN-080,gentle_comfort,温柔安慰,温柔恋人 / 医生 / 可靠朋友,温柔安抚,偏强,先照顾好自己，好吗？,声音放柔，语速稍慢。,10秒内单句
MANDARIN-081,family_conflict,家庭冲突,女儿 / 母亲 / 妻子 / 儿子,压抑爆发,中,在你眼里，我到底算什么？,有情绪但不要喊叫。,10秒内单句
MANDARIN-082,family_conflict,家庭冲突,女儿 / 母亲 / 妻子 / 儿子,压抑爆发,中,你们从来没有问过我愿不愿意。,压住情绪，逐渐加重语气。,10秒内单句
MANDARIN-083,family_conflict,家庭冲突,女儿 / 母亲 / 妻子 / 儿子,压抑爆发,中,我不是你们安排的人生。,有情绪但不要喊叫。,10秒内单句
MANDARIN-084,family_conflict,家庭冲突,女儿 / 母亲 / 妻子 / 儿子,压抑爆发,中,为什么每次妥协的人都是我？,压住情绪，逐渐加重语气。,10秒内单句
MANDARIN-085,family_conflict,家庭冲突,女儿 / 母亲 / 妻子 / 儿子,压抑爆发,中,这个家，不是只有你会累。,有情绪但不要喊叫。,10秒内单句
MANDARIN-086,family_conflict,家庭冲突,女儿 / 母亲 / 妻子 / 儿子,压抑爆发,中,你只看见他的难处，那我呢？,压住情绪，逐渐加重语气。,10秒内单句
MANDARIN-087,family_conflict,家庭冲突,女儿 / 母亲 / 妻子 / 儿子,压抑爆发,偏强,我已经忍了很多年。,有情绪但不要喊叫。,10秒内单句
MANDARIN-088,family_conflict,家庭冲突,女儿 / 母亲 / 妻子 / 儿子,压抑爆发,偏强,你别再替我做决定。,压住情绪，逐渐加重语气。,10秒内单句
MANDARIN-089,family_conflict,家庭冲突,女儿 / 母亲 / 妻子 / 儿子,压抑爆发,偏强,我不是来听你指责我的。,有情绪但不要喊叫。,10秒内单句
MANDARIN-090,family_conflict,家庭冲突,女儿 / 母亲 / 妻子 / 儿子,压抑爆发,偏强,这一次，我想为自己活。,压住情绪，逐渐加重语气。,10秒内单句
MANDARIN-091,workplace_confrontation,职场交锋,女高管 / 律师 / 创业者 / 项目负责人,专业克制,中,方案可以改，底线不能退。,表情冷静，语速稳定。,10秒内单句
MANDARIN-092,workplace_confrontation,职场交锋,女高管 / 律师 / 创业者 / 项目负责人,专业克制,中,我只看结果。,专业、简洁，咬字清楚。,10秒内单句
MANDARIN-093,workplace_confrontation,职场交锋,女高管 / 律师 / 创业者 / 项目负责人,专业克制,中,这不是理由。,表情冷静，语速稳定。,10秒内单句
MANDARIN-094,workplace_confrontation,职场交锋,女高管 / 律师 / 创业者 / 项目负责人,专业克制,中,数据不会替你说谎。,专业、简洁，咬字清楚。,10秒内单句
MANDARIN-095,workplace_confrontation,职场交锋,女高管 / 律师 / 创业者 / 项目负责人,专业克制,中,请你先回答核心问题。,表情冷静，语速稳定。,10秒内单句
MANDARIN-096,workplace_confrontation,职场交锋,女高管 / 律师 / 创业者 / 项目负责人,专业克制,中,风险我会承担，决定也由我来做。,专业、简洁，咬字清楚。,10秒内单句
MANDARIN-097,workplace_confrontation,职场交锋,女高管 / 律师 / 创业者 / 项目负责人,专业克制,偏强,这份报告，你重新做。,表情冷静，语速稳定。,10秒内单句
MANDARIN-098,workplace_confrontation,职场交锋,女高管 / 律师 / 创业者 / 项目负责人,专业克制,偏强,合作可以继续，但条件要重谈。,专业、简洁，咬字清楚。,10秒内单句
MANDARIN-099,workplace_confrontation,职场交锋,女高管 / 律师 / 创业者 / 项目负责人,专业克制,偏强,我需要的是解决方案，不是借口。,表情冷静，语速稳定。,10秒内单句
MANDARIN-100,workplace_confrontation,职场交锋,女高管 / 律师 / 创业者 / 项目负责人,专业克制,偏强,今天下班前，我要看到结果。,专业、简洁，咬字清楚。,10秒内单句
MANDARIN-101,crisis_urgency,危机催促,保护者 / 调查者 / 逃亡者 / 医生,急切克制,中,别问了，先离开这里。,急切压低声音，动作保持克制。,10秒内单句
MANDARIN-102,crisis_urgency,危机催促,保护者 / 调查者 / 逃亡者 / 医生,急切克制,中,马上关掉手机。,语速略快但清楚，不要喊。,10秒内单句
MANDARIN-103,crisis_urgency,危机催促,保护者 / 调查者 / 逃亡者 / 医生,急切克制,中,你现在就走。,急切压低声音，动作保持克制。,10秒内单句
MANDARIN-104,crisis_urgency,危机催促,保护者 / 调查者 / 逃亡者 / 医生,急切克制,中,不要回头。,语速略快但清楚，不要喊。,10秒内单句
MANDARIN-105,crisis_urgency,危机催促,保护者 / 调查者 / 逃亡者 / 医生,急切克制,中,听我的，先上车。,急切压低声音，动作保持克制。,10秒内单句
MANDARIN-106,crisis_urgency,危机催促,保护者 / 调查者 / 逃亡者 / 医生,急切克制,中,来不及解释了。,语速略快但清楚，不要喊。,10秒内单句
MANDARIN-107,crisis_urgency,危机催促,保护者 / 调查者 / 逃亡者 / 医生,急切克制,偏强,他们已经发现你了。,急切压低声音，动作保持克制。,10秒内单句
MANDARIN-108,crisis_urgency,危机催促,保护者 / 调查者 / 逃亡者 / 医生,急切克制,偏强,记住，千万别开门。,语速略快但清楚，不要喊。,10秒内单句
MANDARIN-109,crisis_urgency,危机催促,保护者 / 调查者 / 逃亡者 / 医生,急切克制,偏强,你先保证自己的安全。,急切压低声音，动作保持克制。,10秒内单句
MANDARIN-110,crisis_urgency,危机催促,保护者 / 调查者 / 逃亡者 / 医生,急切克制,偏强,到安全的地方再联系我。,语速略快但清楚，不要喊。,10秒内单句
MANDARIN-111,light_daily,轻喜日常,欢喜冤家 / 室友 / 年轻情侣 / 同事,轻松自然,中,你紧张什么，我又不会吃了你。,嘴角轻微变化，不要夸张。,10秒内单句
MANDARIN-112,light_daily,轻喜日常,欢喜冤家 / 室友 / 年轻情侣 / 同事,轻松自然,中,你今天怎么这么奇怪？,语气自然，带一点轻松调侃。,10秒内单句
MANDARIN-113,light_daily,轻喜日常,欢喜冤家 / 室友 / 年轻情侣 / 同事,轻松自然,中,行了，别装了。,嘴角轻微变化，不要夸张。,10秒内单句
MANDARIN-114,light_daily,轻喜日常,欢喜冤家 / 室友 / 年轻情侣 / 同事,轻松自然,中,你是不是又忘了？,语气自然，带一点轻松调侃。,10秒内单句
MANDARIN-115,light_daily,轻喜日常,欢喜冤家 / 室友 / 年轻情侣 / 同事,轻松自然,中,我就知道你靠不住。,嘴角轻微变化，不要夸张。,10秒内单句
MANDARIN-116,light_daily,轻喜日常,欢喜冤家 / 室友 / 年轻情侣 / 同事,轻松自然,中,少来这套。,语气自然，带一点轻松调侃。,10秒内单句
MANDARIN-117,light_daily,轻喜日常,欢喜冤家 / 室友 / 年轻情侣 / 同事,轻松自然,偏强,你先把嘴角压下去再说。,嘴角轻微变化，不要夸张。,10秒内单句
MANDARIN-118,light_daily,轻喜日常,欢喜冤家 / 室友 / 年轻情侣 / 同事,轻松自然,偏强,我可什么都没答应。,语气自然，带一点轻松调侃。,10秒内单句
MANDARIN-119,light_daily,轻喜日常,欢喜冤家 / 室友 / 年轻情侣 / 同事,轻松自然,偏强,你这人怎么这么会找借口？,嘴角轻微变化，不要夸张。,10秒内单句
MANDARIN-120,light_daily,轻喜日常,欢喜冤家 / 室友 / 年轻情侣 / 同事,轻松自然,偏强,好吧，这次算你赢。,语气自然，带一点轻松调侃。,10秒内单句
